epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,2638.12,0.60381,0.46467,1.07865,0.97581,0.97125,0.96662,0.89017,0.4658,0.37542,0.94168,0.0002105,0.0002105,0.0002105
86,2672.85,0.56853,0.43429,1.05321,0.97697,0.97159,0.96662,0.89999,0.44227,0.37655,0.9197,0.000198125,0.000198125,0.000198125
87,2707.62,0.57001,0.45495,1.06004,0.97683,0.97193,0.96662,0.8839,0.45908,0.36308,0.91798,0.00018575,0.00018575,0.00018575
88,2743.52,0.57658,0.44411,1.04855,0.97888,0.97222,0.96662,0.90435,0.4099,0.3333,0.89647,0.000173375,0.000173375,0.000173375
89,2777.46,0.58218,0.45383,1.08692,0.97669,0.97222,0.96485,0.90672,0.41669,0.34457,0.89591,0.000161,0.000161,0.000161
90,2810.08,0.56246,0.45009,1.04046,0.96895,0.97044,0.96206,0.91107,0.37235,0.34095,0.88919,0.000148625,0.000148625,0.000148625
91,2845.85,0.42651,0.32617,1.00123,0.97628,0.97222,0.96206,0.91803,0.35734,0.33204,0.8778,0.00013625,0.00013625,0.00013625
92,2878.25,0.40018,0.30859,0.98545,0.97705,0.97222,0.96294,0.9236,0.37425,0.34291,0.87361,0.000123875,0.000123875,0.000123875
93,2910.51,0.3975,0.29474,0.97814,0.97926,0.97222,0.96574,0.9111,0.38339,0.34667,0.88288,0.0001115,0.0001115,0.0001115
94,2943.39,0.39275,0.29361,0.96885,0.97938,0.97222,0.96662,0.90237,0.38961,0.34976,0.89705,9.9125e-05,9.9125e-05,9.9125e-05
95,2976.11,0.36916,0.28637,0.9621,0.97983,0.97222,0.96662,0.91229,0.37472,0.3353,0.87737,8.675e-05,8.675e-05,8.675e-05
96,3010.31,0.35565,0.27557,0.93636,0.97983,0.97222,0.96662,0.91279,0.36195,0.33577,0.87452,7.4375e-05,7.4375e-05,7.4375e-05
97,3043.79,0.34712,0.26715,0.9184,0.98091,0.97222,0.9675,0.90838,0.36724,0.33613,0.87495,6.2e-05,6.2e-05,6.2e-05
98,3077.63,0.33025,0.26387,0.91979,0.97943,0.97222,0.96662,0.91693,0.35949,0.33798,0.87337,4.9625e-05,4.9625e-05,4.9625e-05
99,3109.37,0.33037,0.26518,0.93397,0.97932,0.97222,0.96662,0.92472,0.3376,0.33671,0.86869,3.725e-05,3.725e-05,3.725e-05
100,3142.96,0.32764,0.26018,0.93505,0.97977,0.97222,0.96662,0.91949,0.33024,0.32985,0.86749,2.4875e-05,2.4875e-05,2.4875e-05
